标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
开发商装修，没住过，价格可谈.,建发央誉 ,4室2厅 | 140.78平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 31天以前发布,158万,"11,224元/平",,,,
2002年商品房 独体独户 东边户3房 中间楼层,凤凰花园城福安园 ,2室1厅 | 93.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,10人关注 / 4个月以前发布,345万,"36,978元/平",118.741132,32.042662,江苏省南京市鼓楼区凤凰花园城福安园,住宅区
天润城第十六街区飞机户型 好楼层 好位置 近地铁850米,天润城第十六街区北区 ,2室1厅 | 89.66平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,113万,"12,604元/平",118.723113,32.143997,江苏省南京市浦口区天润城第十六街区,住宅区
汉中门大街 凤凰西街  中间楼层 双南一北大三房采光好,汉北街8号 ,3室1厅 | 100.99平米 | 东 南 北 | 简装 | 中楼层(共4层)  | 板楼,6人关注 / 4个月以前发布,290万,"28,716元/平",118.758836,32.041561,江苏省南京市鼓楼区汉北街8号,门址
瑞金北村 双南户型 房龄新 中间楼层采光好 近地铁,瑞金北村 ,2室1厅 | 51.76平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,196万,"37,868元/平",118.811587,32.035704,江苏省南京市秦淮区瑞金北村,村庄
阅江广场 总价低无抵押无贷款，地铁口五号线即将通车,阅江广场 ,1室1厅 | 68.2平米 | 西南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 23天以前发布,95万,"13,930元/平",118.743434,32.088645,江苏省南京市鼓楼区阅江广场,兴趣点
多层洋房 装修保养好 四个大阳台 中间位置 改善双卫,翠屏湾花园城 ,3室2厅 | 149.52平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,22人关注 / 一年前发布,219万,"14,647元/平",118.793822,31.906200,江苏省南京市江宁区翠屏湾花园城,住宅区
满二年 河景房 江景房  精装三大件 有钥匙随时看,中海左岸澜庭 ,3室2厅 | 98.46平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2人关注 / 16天以前发布,230万,"23,360元/平",118.655315,32.046340,江苏省南京市浦口区中海·左岸澜庭,住宅区
雅居乐花园 朝南 两房 拎包入住,雅居乐花园 ,2室1厅 | 56.32平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,179万,"31,783元/平",118.799016,32.009039,江苏省南京市秦淮区南京雅居乐花园,住宅区
奥南 地铁7号线 佳兆业城市广场 精典户型 看房方便,佳兆业城市广场一期 ,3室2厅 | 87.21平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,3人关注 / 1个月以前发布,370万,"42,427元/平",118.702150,31.970447,江苏省南京市建邺区佳兆业·城市广场一期,住宅区
莫愁湖公园 7号线地铁口 交通便利 业主诚心出售,迎宾村 ,3室1厅 | 65.84平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 8个月以前发布,203万,"30,833元/平",118.755628,32.032985,江苏省南京市建邺区迎宾村,村庄
双南户型 中间楼层   采光好 业主诚售 交通便利,仙鹤茗苑 ,3室1厅 | 83.76平米 | 西南 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 8个月以前发布,128万,"15,282元/平",118.901241,32.087869,江苏省南京市玄武区仙鹤茗苑,住宅区
新上  中间楼层  满五唯一   外港南区   校园未占用,外港新村 ,2室1厅 | 56.5平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,120万,"21,239元/平",118.849705,31.944408,江苏省南京市江宁区外港新村,村庄
银城物业 商品房小区 好楼层 通透三房 采光好,兰亭雅苑 ,3室2厅 | 107.14平米 | 南 北 | 其他 | 高楼层(共10层)  | 塔楼,15人关注 / 一年前发布,275万,"25,668元/平",118.819487,32.104909,江苏省南京市栖霞区兰亭雅苑,住宅区
急售 雨核 贾西地铁口 中海城南公馆 精装两室两厅,中海城南公馆二期 ,2室2厅 | 83.18平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,11人关注 / 一年前发布,283万,"34,023元/平",118.735079,31.957705,江苏省南京市雨花台区中海·城南公馆,住宅区
南京南 业主诚心卖万科精装三房两卫，带地暖带大院子,万科尚都荟 ,3室2厅 | 111.06平米 | 南 北 | 其他 | 低楼层(共15层)  | 板塔结合,4人关注 / 1个月以前发布,465万,"41,870元/平",118.807846,31.970487,江苏省南京市雨花台区万科·尚都荟,住宅区
和园 仙外一站路 带电梯 纯毛坯大三房 有钥匙,南大和园 ,3室2厅 | 131.14平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,17人关注 / 2个月以前发布,420万,"32,027元/平",,,,
好视野四房，中医院大校场次新房。,华著兰庭南区 ,4室2厅 | 123.06平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,575万,"46,726元/平",118.812069,31.999488,江苏省南京市秦淮区华著兰庭,住宅区
湖南路山西路虎啸花园电梯洋房满五年露台80平,天福园 ,4室2厅 | 183.09平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,862万,"47,081元/平",118.773721,32.073875,江苏省南京市鼓楼区天福园,住宅区
中间楼层 装修不错  双卧朝南 拐角大阳台 诚心卖,雨花新村二村 ,2室1厅 | 65.9平米 | 东 南 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,135万,"20,486元/平",,,,
苜蓿园 紫金山脚下 一楼带100大院子 边户采光没问题,苜卫路27号 ,3室1厅 | 67.38平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,12人关注 / 5个月以前发布,205万,"30,425元/平",118.834595,32.037763,江苏省南京市秦淮区苜卫路27号,门址
低总价两房，位置好，采光好，无瑕疵,万达西地一期 ,2室2厅 | 74.85平米 | 南 | 简装 | 低楼层(共29层)  | 板塔结合,10人关注 / 1个月以前发布,259万,"34,603元/平",118.736126,32.030415,江苏省南京市建邺区万达西地贰街区B组团,住宅区
梅山生活区满五年 双南 楼层好有钥匙 莲花湖 吾悦广场,上怡二村 ,2室1厅 | 57.69平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 2个月以前发布,43万,"7,454元/平",118.639498,31.903347,江苏省南京市雨花台区上怡二村,村庄
一梯一户 精装修 采光好 视野佳 配套齐全 交通便利,翠屏诚园 ,4室2厅 | 113.4平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,10人关注 / 1个月以前发布,298万,"26,279元/平",118.833824,31.869836,江苏省南京市江宁区翠屏诚园,住宅区
满五年，电梯房，采光不挡，南北通透,金陵御沁园 ,3室2厅 | 134.21平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,550万,"40,981元/平",118.740483,32.062477,江苏省南京市鼓楼区金陵御沁园,住宅区
新上罗托鲁拉小面积 业主自住中Y空调+地暖 诚售可谈,罗托鲁拉小镇 ,2室1厅 | 97.67平米 | 南 | 其他 | 高楼层(共22层)  | 板楼,3人关注 / 2个月以前发布,172万,"17,611元/平",118.855080,31.912851,江苏省南京市江宁区罗托鲁拉小镇,乡镇
迎江园 全明 东边户 精装修 中间楼 南北通透 户型好,迎江园 ,2室1厅 | 63.67平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,385万,"60,469元/平",118.796624,32.059344,江苏省南京市,市
4号地铁口宝船＋宁海江景西边户大窗带一楼车库可住人,华保新寓 ,3室1厅 | 64.11平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,190万,"29,637元/平",118.731210,32.056200,江苏省南京市鼓楼区华保新寓,住宅区
急售碧桂园南北通透户型方正采光好精装修配套设施齐全,高淳碧桂园 ,3室2厅 | 122.7平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 28天以前发布,63万,"5,135元/平",118.889937,31.343264,江苏省南京市高淳区高淳碧桂园,住宅区
融创二期 一梯一户 小区前排 楼层视野好 拎包入住,融创玉兰公馆二期 ,4室2厅 | 130.37平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,2人关注 / 29天以前发布,399万,"30,606元/平",118.830587,32.137220,江苏省南京市栖霞区融创玉兰公馆二期,住宅区
好楼层 户型通风 采光充足 方便出行 配套齐全,华庭南园 ,3室1厅 | 95.29平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,110万,"11,544元/平",118.861421,32.336481,江苏省南京市六合区南园,村庄
南部新城 育宏西苑 人车分流 23年交付 电梯,育宏西苑 ,2室1厅 | 75.33平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 3个月以前发布,275万,"36,507元/平",118.805230,32.003308,江苏省南京市秦淮区育宏西苑,住宅区
此房满两年 户型方正双阳台 好楼层 大三房五桥口,海科新寓 ,3室1厅 | 115.97平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,128万,"11,038元/平",,,,
盘城新居 三房 边户 中高楼层 户型方正 交通生活便利,盘城新居 ,3室2厅 | 97.61平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,88万,"9,016元/平",118.707928,32.208282,江苏省南京市浦口区盘城新居,住宅区
百家湖一号线胜太路小区南门出门即可到达百家湖公园,湖滨公寓 ,3室2厅 | 95.6平米 | 西 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 1个月以前发布,198万,"20,712元/平",118.815032,31.943317,江苏省南京市江宁区湖滨公寓,住宅区
宁工二村 有电梯地铁口 不临街高楼层采光好,宁工新寓二村 ,3室2厅 | 91.43平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 4个月以前发布,286万,"31,281元/平",118.738114,32.059991,江苏省南京市鼓楼区宁工新寓二村,村庄
建宁路 四平路 滨江花园东苑 电梯房 双南 精装,滨江花园东园 ,2室2厅 | 82.72平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,185万,"22,365元/平",118.755387,32.097155,江苏省南京市鼓楼区滨江花园东园(东南门),兴趣点
电梯+三室两厅，东边户，采光好，满5年,仁锦苑 ,3室2厅 | 124.48平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,140万,"11,247元/平",118.727751,32.221003,江苏省南京市六合区仁锦苑,住宅区
鼓楼区朝南小户型，采光好户型方正，总价低,证大大拇指广场 ,1室1厅 | 36.65平米 | 东 | 精装 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,90万,"24,557元/平",118.741762,32.090013,江苏省南京市鼓楼区证大大拇指广场,兴趣点
地铁口，不临马路，楼层好，采光好视野好，交通便利,江佑铂庭 ,2室1厅 | 82.97平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 7个月以前发布,155万,"18,682元/平",118.648649,32.062395,江苏省南京市浦口区江佑铂庭,住宅区
交院地铁 正规两房 中高楼层 满五年唯一 精装修,宜家国际公寓 ,2室1厅 | 79.18平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 3个月以前发布,143万,"18,061元/平",118.909579,31.907095,江苏省南京市江宁区宜家国际公寓,住宅区
此房满五年，银城，汇文，低楼层  随时看,东宝花园 ,3室2厅 | 103.1平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,11人关注 / 7个月以前发布,499万,"48,400元/平",118.737929,32.043807,江苏省南京市鼓楼区东宝花园,住宅区
南方花园B组团 精装1室1厅 满五年 地铁口 业主诚心卖,南方花园B组团 ,1室1厅 | 45.83平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,99万,"21,602元/平",118.818087,31.961215,江苏省南京市江宁区南方花园b组团,门址
22年精装修双南视野开阔采光不遮挡 户型方正,东井二村 ,2室1厅 | 62.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,8人关注 / 5个月以前发布,105万,"16,836元/平",118.801589,32.100436,江苏省南京市鼓楼区东井二村,村庄
中航樾府 精装2房 全南户型 采光无遮挡 品质小区,中航樾府 ,2室2厅 | 74.18平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 8个月以前发布,199万,"26,827元/平",118.797700,31.931635,江苏省南京市江宁区中航·樾府,住宅区
三山街 仙鹤街 精装单式套 总价低 诚心出售全明,仙鹤街 ,1室1厅 | 40.95平米 | 南 西 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 30天以前发布,82万,"20,025元/平",,,,
三山街婚装楼层好、老门西景区，户型方正、交通便利,磨盘街 ,1室1厅 | 41.22平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 8个月以前发布,89万,"21,592元/平",118.777358,32.015892,江苏省南京市秦淮区磨盘街,道路
永欣紫荆苑 大三房 楼层好 西边户 采光充足 房东急售,永欣新寓紫荆苑 ,3室2厅 | 111.3平米 | 南 | 其他 | 高楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,65万,"5,841元/平",118.860166,31.763721,江苏省南京市江宁区永欣新寓紫荆苑,住宅区
瑞金路中间楼层 边户 小两房低总价 诚心出售 看房方便,瑞金新村 ,2室1厅 | 44.85平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,2人关注 / 5个月以前发布,140万,"31,216元/平",118.812819,32.029201,江苏省南京市秦淮区瑞金新村,村庄
和园 仙外一站路 带电梯 纯毛坯大三房 有钥匙,南大和园 ,3室2厅 | 131.14平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,17人关注 / 2个月以前发布,420万,"32,027元/平",118.960998,32.105478,江苏省南京市栖霞区南大和园,住宅区
湖南路山西路虎啸花园电梯洋房满五年露台80平,天福园 ,4室2厅 | 183.09平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,862万,"47,081元/平",118.773721,32.073875,江苏省南京市鼓楼区天福园,住宅区
中间楼层 装修不错  双卧朝南 拐角大阳台 诚心卖,雨花新村二村 ,2室1厅 | 65.9平米 | 东 南 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,135万,"20,486元/平",118.772960,31.998820,江苏省南京市雨花台区雨花新村二村,住宅区
天妃宫  大观天地旁  精装修  业主诚售,证大大拇指广场 ,1室1厅 | 37.01平米 | 西 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,90万,"24,318元/平",118.741762,32.090013,江苏省南京市鼓楼区证大大拇指广场,兴趣点
总监推荐 火瓦钟英 新街口 楼层采光好 精装修,西方巷 ,2室1厅 | 48.64平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,268万,"55,099元/平",118.788081,32.032523,江苏省南京市秦淮区西方巷,道路
中华-书-雨核地铁口大四房次新小区采光无遮挡,中海城南公馆二期 ,4室2厅 | 131.37平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 6个月以前发布,405万,"30,829元/平",118.735079,31.957705,江苏省南京市雨花台区中海·城南公馆,住宅区
江核青奥板块，东边户，一线江景房，开发商精装修,保利西江月 ,3室2厅 | 105.28平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,4人关注 / 2个月以前发布,230万,"21,847元/平",118.658311,32.041687,江苏省南京市浦口区保利·西江月,住宅区
南部新城 2023刚交房的小区 次新房 精装修 得房率很高,华著兰庭南区 ,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,499万,"49,900元/平",118.812069,31.999488,江苏省南京市秦淮区华著兰庭,住宅区
大里聚福城怡景园 商品房 精装修 自住 看房随时,怡景园 ,2室1厅 | 66.71平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,1人关注 / 29天以前发布,102万,"15,291元/平",118.796624,32.059344,江苏省南京市,市
鼓楼 湖南路 双南 采光佳 地铁口,中央路（鼓楼） ,3室1厅 | 71.44平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,20人关注 / 1个月以前发布,130万,"18,198元/平",,,,
精装修 小高层边户 装修楼层好 看房方便,翠屏城 ,3室1厅 | 100.45平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,2人关注 / 7个月以前发布,88万,"8,761元/平",118.857791,31.795260,江苏省南京市江宁区奥斯博恩庄园,住宅区
弘阳物业 品质小区 南北通透改善三房 高楼层采光好,弘阳旭日上城三区 ,3室1厅 | 107.4平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,185万,"17,226元/平",118.725499,32.141179,江苏省南京市浦口区弘阳·旭日上城三区,住宅区
雨花台区铁心桥 满二年 视野开阔 采光充足有电梯,翠岭银河 ,2室1厅 | 69.57平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,9人关注 / 7个月以前发布,108万,"15,524元/平",118.757562,31.952375,江苏省南京市雨花台区翠岭银河,住宅区
刚需小3房 东边户 楼层好 满2年 看房有钥匙,盛景华庭南苑 ,3室1厅 | 88.47平米 | 南 北 | 简装 | 高楼层(共28层)  | 板塔结合,1人关注 / 1个月以前发布,110万,"12,434元/平",118.642609,32.054969,江苏省南京市浦口区盛景华庭南苑,住宅区
